RT,Kh,Kv_Kh,So,INJP,VL,TS,HL,WD,LN,OR_FPP,CO_FPP,SOR_FPP,CSOR_FPP,OR_FPT,CO_FPT,SOR_FPT,CSOR_FPT,OR_Half,CO_Half,SOR_Half,CSOR_Half,OR_FPT_6,CO_FPT_6,SOR_FPT_6,CSOR_FPT_6,OR_FPT_12,CO_FPT_12,SOR_FPT_12,CSOR_FPT_12,OR_FPT_18,CO_FPT_18,SOR_FPT_18,CSOR_FPT_18,OR_FPT_24,CO_FPT_24,SOR_FPT_24,CSOR_FPT_24,T_FPP,T_FPT,T_Half
0,0.4,0.6,0.7,0.428571429,0,0.8,0.5,0.5,0,0.316669706,0.303890862,0.129206461,0.212960628,0.246611673,0.265890768,0.071658254,0.077629997,0.291366516,0.305517993,0.061726321,0.090774278,0.163773447,0.272997958,0.091617665,0.077530689,0.138520866,0.28114777,0.133776434,0.08091023,0.135311619,0.291902964,0.136608214,0.091275629,0.150168128,0.304450185,0.132309842,0.103150551,0.254545455,0.328571429,0.288288288
0.666666667,0.4,0.6,1,0.714285714,1,0.2,0.5,0.642857143,0.833333333,0.287898117,0.370033509,0.184445753,0.195726445,0.313951701,0.296592251,0.065888688,0.092242529,0.39754946,0.341282814,0.1009547,0.1042154,0.205997371,0.309013523,0.103615045,0.091212719,0.237661171,0.330247036,0.100298078,0.092568593,0.239884952,0.361870088,0.181523668,0.101515384,0.360619936,0.406142043,0.12244125,0.113190918,0.290909091,0.328571429,0.27027027
0,0.5,0.4,1,0.714285714,1,0.8,0.083333333,0.821428571,0.333333333,0.40411485,0.248111853,0.052465004,0.127330429,0.32618038,0.494533539,0.056371171,0.040855408,0.407535104,0.480383776,0.037021751,0.045027404,0.297383724,0.502410338,0.042618458,0.041286563,0.265622506,0.52791766,0.040769708,0.039603238,0.147103612,0.537582664,0.100531019,0.045781473,0.113808982,0.533880701,0.142851654,0.057747878,0.163636364,0.385714286,0.405405405
1,0.5,0.2,0,0.285714286,1,0.2,0.083333333,0.678571429,0.666666667,0.256826945,0.10855939,0.256393345,0.293634347,0.352111062,0.166090605,0.328894169,0.297565203,0.358116649,0.163271795,0.29298251,0.252807064,0.257372934,0.192664793,0.328066727,0.32584803,0.281684211,0.231668163,0.216473688,0.326481991,0.328676879,0.284420432,0.168864025,0.310305842,0.437662844,0.35094476,0.139810558,0.292961502,0.072727273,0.157142857,0.153153153
0.166666667,0.6,0.2,0.4,0.857142857,1,0.8,0.083333333,0.464285714,1,0.328719931,0.082299612,0.159015117,0.199100231,0.314245153,0.134829925,0.233675192,0.20258422,0.389527903,0.123186293,0.149824268,0.166974241,0.237053382,0.158450631,0.327164706,0.234542232,0.323083187,0.205473091,0.234067778,0.239578888,0.325005612,0.26360457,0.20809171,0.239267518,0.412811376,0.32830089,0.126547442,0.232784187,0.054545455,0.114285714,0.126126126
0,0.5,0.6,0.9,0,0.5,1,0.5,0.285714286,0.333333333,0.229193498,0.287563726,0.112015248,0.15818228,0.2207893,0.182737979,0.040697421,0.042569608,0.273375854,0.238993068,0.05167894,0.051918917,0.143871856,0.190155281,0.05795607,0.042466825,0.148378846,0.204001329,0.068296302,0.044632584,0.151621892,0.221525295,0.100849942,0.051857598,0.196251932,0.244973199,0.101460442,0.062020226,0.290909091,0.3,0.225225225
0.333333333,0,0.8,0.4,0.285714286,1,0.6,0.25,0.25,0.5,0.178782972,0.30217874,0.184458041,0.253826034,0.252069006,0.164852394,0.122463553,0.121798117,0.255407612,0.213235169,0.12987534,0.128031692,0.16746241,0.177598939,0.155258427,0.127598574,0.152048382,0.194215085,0.173459883,0.133172941,0.146043765,0.212477897,0.179665091,0.143815428,0.176535413,0.233451871,0.173455323,0.156988157,0.327272727,0.3,0.225225225
0.5,0.3,0,0.2,0,1,0,0.75,0.535714286,0.333333333,0.109076453,0.170979628,0.179815423,0.282279741,0.228218079,0.077983835,0.133844802,0.126286791,0.234993203,0.106625942,0.102218869,0.138448496,0.150391079,0.093725113,0.197587163,0.14017154,0.124554042,0.109985064,0.266111087,0.158427073,0.119727024,0.126825924,0.286028414,0.183173876,0.136861997,0.144939012,0.319288263,0.211227479,0.218181818,0.185714286,0.135135135
0.333333333,0.8,0.8,0.3,0.285714286,0,0.4,0.166666667,0.642857143,1,0.129750689,0.089268887,0.472413208,0.495711953,0.238809758,0.145315051,0.575710528,0.616779501,0.21196926,0.131019079,0.546228803,0.54468948,0.165863691,0.158431073,0.633619743,0.633954978,0.15388121,0.175702551,0.562596456,0.636644052,0.16033627,0.196985045,0.550753457,0.643416325,0.228769573,0.226559722,0.485012975,0.652757663,0.090909091,0.214285714,0.225225225
0.666666667,0.3,0.2,0.4,0,1,0,0.75,0.464285714,1,0.151185073,0.07844066,0.155325404,0.198867577,0.202749133,0.112494052,0.238316728,0.223056295,0.187546554,0.116621211,0.23498082,0.187373403,0.138803376,0.123697664,0.286713935,0.236580977,0.123048008,0.137125272,0.311466089,0.248733352,0.116746218,0.152518449,0.313147322,0.266315294,0.136936392,0.168002655,0.324659315,0.288661231,0.090909091,0.2,0.198198198
0.166666667,1,0.5,0.2,0.571428571,0.5,0,0.333333333,0.5,0.333333333,0.393437921,0.149389816,0.254290753,0.299356677,0.523285279,0.15209388,0.274448232,0.235051571,0.591747965,0.161771528,0.198121004,0.213486888,0.369791023,0.200747374,0.290679336,0.266360209,0.355486186,0.255659599,0.250424584,0.269888359,0.364005655,0.322411516,0.184814886,0.260297523,0.46270761,0.393278281,0.104394963,0.245771454,0.072727273,0.1,0.081081081
0,0.5,0.9,0.7,0.285714286,1,0,0.5,0.5,0.5,0.336358856,0.326686557,0.119254968,0.151072632,0.338384074,0.279949026,0.03404941,0.03918853,0.373372142,0.315444252,0.036556029,0.05114574,0.330181209,0.301432771,0.040998721,0.039736317,0.318338319,0.347745281,0.04589171,0.039369136,0.297671326,0.391662262,0.061032955,0.042658253,0.389193602,0.444353035,0.030177097,0.047186059,0.218181818,0.271428571,0.234234234
